main_category|sub_category|channel|description
sport|cycling (cross)|VRT 1|VELDRIJDEN. ZONHOVEN H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. ZONHOVEN D.
sport|gymnastic|VRT 1|TURNEN GYMGALA
entertainment|humour|VRT 1|LOSLOPEND KERSTWILD
sport|cycling (cross)|VRT 1|VELDRIJDEN. HULST (S.)
fiction|popular drama/comedy|VTM|DE FAMILIE CLAUS 2
information|current affair|VRT CANVAS|VRANCKX
information|economy/politics/society affairs|VRT 1|VILLA POLITICA
knowledge|human interest/society|PLAY4|VERSLAAFD!
knowledge|human interest/society|VRT CANVAS|THE GYMNASTS
fiction|psychologic drama/melodrama|VRT 1|THE IMPOSSIBLE
fiction|psychologic drama/melodrama|VRT 1|DOWNTON ABBEY, A NEW ERA
fiction|police|PLAY5|THE ROOKIE
entertainment|humour|VRT CANVAS|BAS BIRKER, SOWIESO
fiction|action|PLAY4|THE BATMAN
entertainment|game|PLAY4|DE SLIMSTE MENS TER WERELD
entertainment|talk|PLAY4|DE SLIMSTE TAFEL
entertainment|humour|VRT 1|GEUBELS GAAT IN BAD
sport|football|VRT CANVAS|VB. C4 UEFA SCHIFT - LARNE/GENT
entertainment|humour|VRT 1|DE GROTE BOODSCHAP
lifestyle|show business/variety/stars|VTM|STERREGEM
knowledge|human interest/society|VRT 1|HET HUIS
knowledge|human interest/society|VTM|VER VAN HUIS
lifestyle|consumer advice|PLAY4|STUKKEN VAN DEALERS
knowledge|human interest/society|VRT 1|CIAO RUDI
fiction|police|PLAY5|NCIS, HAWAII
lifestyle|travel/tourism|VRT 1|NADIYA'S ASIAN ODYSSEY
sport|cycling (cross)|VRT 1|VELDRIJDEN. NAMEN (S.)
sport|cycling (cross)|VRT 1|VELDRIJDEN. HERENTALS H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. HERENTALS D.
fiction|popular drama/comedy|VTM|DE FAMILIE CLAUS
fiction|action|VRT 1|TOMB RAIDER
lifestyle|cooking/food/drink|VRT 1|JAMIE'S EASY MEALS AT CHRISTMAS
fiction|police|VRT 1|D.I. RAY
fiction|action|VTM2|THE EQUALIZER 2
entertainment|humour|VRT CANVAS|WIM HELSEN, NIET MIJN APEN, NIET MIJN CIRCUS
knowledge|humanities/history|VRT 1|HERTOGINNEDAL
sport|football|PLAY6|VB. C4 UEFA SCHIFT - SLAVIA PRAHA/ANDERLECHT
entertainment|game|VRT 1|KNAPPE KOPPEN
sport|football|VTM2|VB. C1 UEFA SCHIFT - JUVENTUS/MANCHESTER C.
sport|football|VTM2|VB. C1 UEFA SCHIFT - CL.BRUGGE/SPORTING CLUBE DE PORTUGAL
knowledge|human interest/society|VRT 1|LEVEN IN VERLENGINGEN
entertainment|love/dating|VTM|BLIND GETROUWD
knowledge|media|VRT 1|20 JAAR HET EILAND
lifestyle|travel/tourism|PLAY4|OVER DE OCEAAN
entertainment|variety|VTM|THE MASKED SINGER, BEHIND THE MASK
sport|formula 1|VRT 1|F1. WK. GP. VERENIGDE STATEN (S.)
fiction|other fiction|VRT CANVAS|MAMMALS
fiction|adventure|VTM|THE LION KING (2019)
fiction|police|VRT 1|MURDER IN PROVENCE
knowledge|human interest/society|VRT 1|BAGAGE
entertainment|variety|VTM|THE MASKED SINGER
entertainment|humour|VRT CANVAS|JASPER PASSON, VASTBENOEMD
lifestyle|cooking/food/drink|VTM2|DAT EET DAN GELUKKIG ZIJN
sport|football|VRT CANVAS|VB. BB. 1/8F - ANDERLECHT/WESTERLO
knowledge|human interest/society|VTM|HELDEN VAN HIER, DE MUG, HELI
knowledge|media|VRT CANVAS|20 JAAR HET EILAND
sport|football|VTM2|VB. BB. 1/8F - PATRO EISDEN/CL.BRUGGE
fiction|psychologic drama/melodrama|VRT 1|WATER EN VUUR
knowledge|human interest/society|VRT CANVAS|DRUGS DUS.
lifestyle|travel/tourism|VRT 1|DWARS DOOR DE LAGE LANDEN
fiction|popular comedy|VRT CANVAS|HET EILAND
entertainment|game|VTM|DE VERRADERS
sport|cycling (cross)|VRT 1|VELDRIJDEN. WB. DUBLIN H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. WB. DUBLIN D.
sport|basketball|VRT 1|BASKET. BNXT LEAGUE H. - CHARLEROI/KORTRIJK
entertainment|game|VTM|THE FLOOR
fiction|thriller|VRT CANVAS|THE BEAST MUST DIE
information|current affair|VTM|POLITIERECHTERS
fiction|police|VRT 1|SHETLAND
fiction|other fiction|VTM2|DE HAVEN
sport|football|VTM2|VB. C1 UEFA SCHIFT - CELTIC/CL.BRUGGE
sport|football|VTM2|VB. C1 UEFA SCHIFT - BAYERN/PARIS-ST-G.
entertainment|talk|VTM|DE VERRADERS, DE RONDE TAFEL
sport|cycling (cross)|VRT 1|VELDRIJDEN. ANTWERPEN (H.)
sport|cycling (cross)|VRT 1|VELDRIJDEN. ANTWERPEN (D.)
sport|formula 1|VRT 1|F1. WK. GP. LAS VEGAS (S.)
lifestyle|show business/variety/stars|VTM|EXPEDITIE PAIRI DAIZA
entertainment|game|VRT 1|CLOCKWISE
fiction|police|VRT 1|VAN DER VALK
entertainment|talk|VRT CANVAS|SOUNDOS
entertainment|variety|PLAY4|WIJ ZIJN VAN NIENOF!
fiction|action|VTM2|PARIS HAS FALLEN
sport|football|VTM|VB. NATIONS LEAGUE UEFA - BELGIE/ISRAEL
sport|cycling (cross)|VRT 1|VELDRIJDEN. HAMME H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. HAMME D.
sport|cycling (track/piste)|VRT 1|BAANWIELRENNEN. 6-DAAGSE VAN GENT
knowledge|humanities/history|VRT CANVAS|POMPEII, THE NEW DIG
fiction|thriller|PLAY5|FOUND
entertainment|variety|VRT 1|HIJ KOMT, HIJ KOMT!
lifestyle|cooking/food/drink|VTM|DAT EET DAN GELUKKIG ZIJN
entertainment|variety|VRT 1|MENOPAUZIA
sport|football|VTM|VB. NATIONS LEAGUE UEFA - BELGIE/ITALIE
information|current affair|VRT CANVAS|UKRAINE, ENEMY IN THE WOODS
fiction|police|VRT 1|WITSE
sport|cycling (cross)|VRT 1|VELDRIJDEN. NIEL (S.)
sport|cycling (cross)|VRT 1|VELDRIJDEN. LOKEREN H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. LOKEREN D.
sport|basketball|VRT CANVAS|BASKET. EUROLEAGUE D. - POLEN/BELGIE
sport|handball|VRT 1|HANDBAL. EK24. KWALIF. - BELGIE/TSJECHIE
information|current affair|VRT CANVAS|MISSING PEOPLE
fiction|police|VRT 1|LEWIS
entertainment|humour|VRT CANVAS|LUKAS LELIE, KWESTIE VAN SMAAK
lifestyle|show business/variety/stars|VRT 1|22 KIDS AND COUNTING
lifestyle|show business/variety/stars|VTM|LAURA TESORO, MEER DAN EEN DROOM
fiction|thriller|VRT 1|TSUNAMI
entertainment|game|VTM|WIE ZOEKT DIE WINT
entertainment|game|VTM|ERFGENAAM GEZOCHT
knowledge|philosophy/religion|VRT CANVAS|HET VATICAAN, DE STAAT VAN DE KERK
sport|other sports|VRT 1|MISSIE MEDAILLE
fiction|popular drama/comedy|VTM|KOTMADAM SARAFIAN
information|economy/politics/society affairs|VRT 1|VERSCHEURD AMERIKA
sport|cycling (cross)|VRT 1|VELDRIJDEN. EK. PONTEVEDRA H.
fiction|thriller|VRT 1|FERRY, DE SERIE
sport|cycling (cross)|VRT 1|VELDRIJDEN. EK. PONTEVEDRA D.
sport|athletics (track/piste)|VRT 1|ATLETIEK. MARATHON BRUSSEL (S.)
knowledge|medecin/health|VRT 1|IS ER EEN DOKTER IN DE ZAAL?
sport|cycling (cross)|VRT 1|VELDRIJDEN. KOPPENBERG H.
fiction|thriller|VRT 1|THE TOWER
sport|cycling (cross)|VRT 1|VELDRIJDEN. KOPPENBERG D.
fiction|fantasy/fairy tale|PLAY4|FANTASTIC BEASTS, THE SECRETS OF DUMBLEDORE
information|economy/politics/society affairs|VTM2|HET DETENTIEHUIS
sport|football|VTM2|VB. BB. 1/16F - CL.BRUGGE/BELISIA BILZEN
sport|cycling (cross)|VRT 1|VELDRIJDEN. OVERIJSE (S.)
knowledge|nature/environment|VRT 1|BORN TO BE WILD
fiction|popular drama/comedy|VTM|DE HAVEN
sport|cycling (cross)|VRT 1|VELDRIJDEN. HEERDERSTRAND D.
sport|cycling (cross)|VRT 1|VELDRIJDEN. HEERDERSTRAND H.
fiction|fantasy/fairy tale|PLAY4|FANTASTIC BEASTS, THE CRIMES OF GRINDELWALD
fiction|action|VRT CANVAS|FOR A FEW DOLLARS MORE
entertainment|humour|VRT CANVAS|THEO MAASSEN ZAALSHOW
information|current affair|VRT 1|ENQUETE BUREAU
lifestyle|show business/variety/stars|VTM|HELDEN VAN HIER, OP INTERVENTIE
sport|football|VTM2|VB. C1 UEFA SCHIFT - FC.BARCELONA/BAYERN
lifestyle|show business/variety/stars|VRT 1|40 JAAR REILEN & HEYLEN
sport|football|VTM2|VB. C1 UEFA SCHIFT - AC.MILAAN/CL.BRUGGE
fiction|popular drama/comedy|PLAY4|OOIT VRIJ
sport|cycling (cross)|VRT 1|VELDRIJDEN. RUDDERVOORDE H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. RUDDERVOORDE D.
sport|tennis|VRT 1|TENNIS. EUROPEAN OPEN
sport|cycling (cross)|VRT 1|VELDRIJDEN. ESSEN H.
sport|cycling (cross)|VRT 1|VELDRIJDEN. ESSEN D.
fiction|thriller|VRT CANVAS|THE LONG SHADOW
fiction|police|VRT 1|MIDSOMER MURDERS
entertainment|humour|VRT CANVAS|ARNOUT VAN DEN BOSSCHE
fiction|fantasy/fairy tale|PLAY4|FANTASTIC BEASTS AND WHERE TO FIND THEM
sport|football|DAZN PRO LEAGUE 1 (NL)|VB. JUPILER PRO LEAGUE - BEERSCHOT - RSC ANDERLECHT
sport|football|VTM|VB. NATIONS LEAGUE UEFA - BELGIE/FRANKRIJK
information|special event|VRT 1|KIES24
information|special event|VTM|STEM 2024
sport|other sports|VTM2|DARTS. GRAND PRIX
fiction|political drama|PLAY4|DE PREMIER
lifestyle|show business/variety/stars|VTM2|STEENRIJK, STRAATARM
information|special event|VRT CANVAS|THE CHOICE 2024, HARRIS VS TRUMP
lifestyle|travel/tourism|PLAY4|AXEL IN AMERIKA
fiction|police|PLAY5|CRIMINAL MINDS
fiction|thriller|VRT CANVAS|AGENT
entertainment|talk|PLAY4|VIK & GERT
fiction|action|VTM3|FURY
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN LOMBARDIJE
information|special event|VRT 1|HET GROOT DEBAT
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. BERINGEN H.
sport|cycling (cross)|VRT CANVAS|VELDRIJDEN. BERINGEN D.
fiction|thriller|VTM|BLUR
entertainment|humour|VRT CANVAS|MICHAEL VAN PEEL, WELCOME TO THE REBELLION
fiction|popular drama/comedy|VRT 1|DERTIGERS
lifestyle|home/decorating|PLAY4|JANI & JAMES, DOEN-HET-ZELF
entertainment|game|VRT 1|EERSTE KEUS
knowledge|human interest/society|VRT CANVAS|JAN LEYERS BIJ DE DUITSERS
lifestyle|show business/variety/stars|VTM|HELDEN VAN HIER, POLITIE AALST
knowledge|culture/folklore/tradition|VRT CANVAS|WILLY'S BOOT
sport|cycling (road)|VRT 1|WIELRENNEN. WK. GRAVEL H.
entertainment|game|PLAY4|CELEBRITY KLOPJACHT
sport|cycling (road)|VRT 1|WIELRENNEN. PARIJS-TOURS
sport|cycling (road)|VRT 1|WIELRENNEN. WK. GRAVEL D.
fiction|thriller|VTM|RITUEEL
entertainment|variety|VRT 1|JEANKE IN AMERIKA
fiction|psychologic drama/melodrama|VRT CANVAS|THE WIFE
fiction|popular drama/comedy|VTM|BILLIE VS BENJAMIN
information|special event|VTM|HET GROTE GEMEENTEDEBAT
sport|football|VTM2|VB. C1 UEFA SCHIFT - STURM GRAZ/CL.BRUGGE
entertainment|variety|VRT 1|KALM WAES
sport|cycling (road)|VRT 1|WIELRENNEN. WK. ZURICH H.
knowledge|philosophy/religion|VRT CANVAS|EUCHARISTIEVIERING
sport|cycling (road)|VRT CANVAS|WIELRENNEN. WK. ZURICH H. - ELITE H.
sport|cycling (road)|VRT 1|WIELRENNEN. WK. ZURICH D.
knowledge|nature/environment|VRT 1|THE ZOO
fiction|action|VTM|TOP GUN, MAVERICK
fiction|action|VTM2|HOMEFRONT
entertainment|variety|VTM|VIVA VERMEIRE
fiction|fantasy/fairy tale|PLAY4|HARRY POTTER AND THE HALF-BLOOD PRINCE
lifestyle|cooking/food/drink|PLAY4|KOMEN ETEN
information|current affair|VTM|DE KROONGETUIGEN
sport|cycling (road)|VRT 1|WIELRENNEN. WK. ZURICH H. - JUNIOREN
sport|football|PLAY6|VB. C3 UEFA SCHIFT - ANDERLECHT/FERENCVAROSI
sport|cycling (road)|VRT 1|WIELRENNEN. WK. ZURICH (S.)
information|current affair|VTM|ZILLION, THE LOST TAPES
fiction|popular drama/comedy|VRT 1|DE GOUDVIS
fiction|drama|VTM|ZILLION
fiction|thriller|VRT CANVAS|CONVICTION, THE CASE OF STEPHEN LAWRENCE
fiction|police|VRT 1|KAREN PIRIE
sport|cycling (road)|VRT 1|WIELRENNEN. LOTTO CYCLING CUP
knowledge|nature/environment|VRT 1|HET LANDGOED VAN DE STOKSTAARTJES, OPKOMST VAN DE DYNASTIE
sport|football|VTM2|VB. C1 UEFA SCHIFT - AT.MADRID/LEIPZIG
sport|football|VTM2|VB. C1 UEFA SCHIFT - CL.BRUGGE/DORTMUND
sport|cycling (road)|VRT 1|WIELRENNEN. EK. LIMBURG H.
fiction|science fiction|VTM|JURASSIC WORLD DOMINION
lifestyle|cooking/food/drink|VRT 1|CHALLAS EN DE KOST
sport|athletics (track/piste)|VRT CANVAS|ATLETIEK. MEMORIAL IVO VAN DAMME
fiction|police|VRT CANVAS|HUSS
fiction|action|VTM3|AMBULANCE
entertainment|music|VTM|40 JAAR CLOUSEAU
fiction|fantasy/fairy tale|PLAY4|HARRY POTTER AND THE GOBLET OF FIRE
sport|cycling (road)|VRT 1|WIELRENNEN. EK. LIMBURG D.
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 21 MADRID>MADRID
entertainment|variety|VRT 1|BERT EN BAVO GAAN OLYMPISCH
sport|cycling (road)|VRT CANVAS|WIELRENNEN. VUELTA - RIT 21 MADRID>MADRID
entertainment|humour|VRT 1|LOSLOPEND WILD & GEVOGELTE
fiction|adventure|VTM|THE LOST CITY
information|special event|VRT 1|EEN DAG IN PARIJS
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 20 VILLARCAYO>PICON BLANCO
fiction|action|VTM|THE EQUALIZER
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 19 LEGRONO>ALTO DE MONCALVILLO
fiction|popular soap|VTM GOLD|STURM DER LIEBE
fiction|fantasy/fairy tale|PLAY4|HARRY POTTER AND THE PRISONER OF AZKABAN
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 18 VITORIA-GASTEIZ>MAEZTU-PARQUE NAT
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 17 MONUMENTO JUAN DEL CASTILLO. ARNU
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 16 LUANCO>LAGOS DE COVADONGA
entertainment|music|VTM|TIEN OM TE ZIEN (2024)
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 15 INFIESTO>CUITU NEGRU
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT 5 MENEN>GERAARDSBERGEN
lifestyle|cooking/food/drink|VRT 1|REMARKABLE PLACES TO EAT
fiction|popular drama/comedy|VTM|NIETS TE MELDEN
fiction|police|VTM|BAANTJER, HET BEGIN
knowledge|humanities/history|VRT CANVAS|CHERNOBYL, THE LOST TAPES
entertainment|music|VRT 1|ZOMERHIT
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 14 VILLAFRANCA DEL BIERZO>VILLABLINO
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT 4 OOSTBURG>AALTER
fiction|comedy|VTM|MINIONS 2, THE RISE OF GRU
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 13 LUGO>PUERTO DE ANCARAS
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT 3 BLANKENBERGE>ARDOOIE
fiction|animation|VRT 1|ICE AGE 3, DAWN OF THE DINOSAURS
fiction|thriller|VRT CANVAS|GONE GIRL
fiction|police|PLAY5|ELSBETH
fiction|action|VTM2|MISSION IMPOSSIBLE, FALLOUT
fiction|fantasy/fairy tale|PLAY4|HARRY POTTER AND THE CHAMBER OF SECRETS
lifestyle|travel/tourism|VTM|MET VIER IN BED
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 12 OURENSE TERMAL>MANZANEDA
lifestyle|cooking/food/drink|VRT 1|DE MOSTERD VAN MEUS
information|current affair|VTM|TELEFACTS ZOMER
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 11 CORTIZO PADRON>CORTIZO PADRON
sport|cycling (road)|VRT 1|WIELRENNEN. RENEWI TOUR - RIT1 RIEMST>BILZEN
entertainment|game|VTM|HET JACHTSEIZOEN
information|special event|VRT CANVAS|PARALYMPISCHE SPELEN PARIJS 2024 OPENINGSCEREMONIE
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 10 PONTEAREAS>BAIONA
knowledge|medecin/health|VRT 1|SPOED 24/7
information|current affair|PLAY4|DE SNEEUWMAN, GEHEIMEN VAN EEN KINDERMOORDENAAR
sport|football|VTM2|VB. C1 UEFA SCHIFT - GALATASARAY AS/YOUNG BOYS BERN
entertainment|game|VTM|EENMAAL, ANDERMAAL
knowledge|architecture/urbanism|VRT CANVAS|THE ACROPOLIS, SECRETS OF THE ANCIENT CITADEL
entertainment|talk|PLAY4|CAFE CONGE
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 9 MOTRIL>GRANADA
fiction|thriller|VRT 1|FERRY
knowledge|medecin/health|PLAY4|TOPDOKTERS
entertainment|variety|VRT 1|BERTHONY
fiction|thriller|PLAY4|NIVEAU 4
fiction|popular soap|VTM|FAMILIE, HET WARE GELAAT VAN JORIS
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 8 UBEDA>CAZORLA
fiction|adventure|VTM|SONIC THE HEDGEHOG 2
lifestyle|home/decorating|PLAY4|BLIND GEKOCHT NL
fiction|popular drama/comedy|VTM|VERSCHOTEN & ZOON
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 7 ARCHIDONA>CORDOBA
fiction|thriller|VRT 1|THE REUNION
knowledge|culture/folklore/tradition|VRT CANVAS|BELPOP
fiction|adventure|VTM3|THE ADVENTURES OF TINTIN, THE SECRET OF THE UNICORN
fiction|police|VRT 1|SUSPECT
fiction|fantasy/fairy tale|PLAY4|HARRY POTTER AND THE SORCERER'S STONE
entertainment|love/dating|VTM|B&B ZOEKT LIEF
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 6 CARREFOUR JEREZ SUR JEREZ DE LA FR
fiction|thriller|VTM3|EAGLE EYE
fiction|police|VRT 1|ASTRID ET RAPHAELLE
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 5 FUENTE DEL MAESTRE>SEVILLA
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 4 PLASENCIA>PICO VILLUERCAS
sport|cycling (road)|VRT 1|WIELRENNEN. VUELTA - RIT 3 LOUSA>CASTELO BRANCO
fiction|police|VTM2|WILL TRENT
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 8 LE GRAND-BORNAND>ALPE D'HUEZ
fiction|thriller|VRT 1|DOSSIER K.
sport|cycling (road)|VRT 1|TOUR DE FRANCE FEMMES MET MAARTEN EN MARIJN
fiction|police|VRT 1|LES PETITS MEURTRES D'AGATHA CHRISTIE
fiction|action|VTM2|JASON BOURNE
sport|cycling (road)|VRT CANVAS|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 8 LE GRAND-BORNAND>ALPE D'HUEZ
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 7 CHAMPAGNOLE>LE GRAND-BORNAND
sport|cycling (road)|VRT CANVAS|WIELRENNEN. VUELTA - RIT 1 LISSABON>OEIRAS
fiction|action|VTM|TORPEDO
fiction|popular drama/comedy|VTM|DE MUG
information|economy/politics/society affairs|VTM|HET VONNIS
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 6 REMIREMONT>MORTEAU
fiction|thriller|VTM2|AVA
sport|cycling (road)|VRT 1|WIELRENNEN. TOUR OF LEUVEN
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 5 BASTOGNE>AMNEVILLE
sport|football|VTM2|VB. C4 UEFA EUROPA CONFERENCE LEAGUE - KAA GENT/SILKEBORG IF
fiction|police|VTM|CODE 37
sport|football|VTM2|VB. SUPER BB - R.MADRID/ATALANTA
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 4 VALKENBURG>LIEGE
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 3 ROTTERDAM>ROTTERDAM
sport|football|VTM2|VB. C1 UEFA SCHIFT - UNION ST.-GILLOISE/SLAVIA PRAHA
fiction|popular drama/comedy|PLAY5|ALASKA DAILY
sport|cycling (road)|VRT 1|WIELRENNEN. RONDE VAN FRANKRIJK D. - RIT 1 ROTTERDAM>DEN HAAG
sport|all sports|VRT 1|O.S. PARIJS 2024
sport|all sports|VRT 1|O.S. 2024 SLUITINGSCEREMONIE
entertainment|variety|VRT 1|PARIS BY NIGHT
sport|basketball|VRT CANVAS|O.S. 2024 BASKETBAL D. - BELGIE/AUSTRALIE
sport|cycling (track/piste)|VRT 1|O.S. 2024 BAANWIELRENNEN. D.
sport|basketball|VRT 1|O.S. 2024 BASKETBAL D.
sport|volleyball|VRT 1|O.S. 2024 VOLLEYBAL D.
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK
sport|other water sports|VRT 1|O.S. 2024 WATERPOLO H.
sport|athletics (field/cross)|VRT 1|O.S. 2024 ATLETIEK. MARATHON D.
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK D.
sport|basketball|VRT 1|O.S. 2024 BASKETBAL H.
sport|other water sports|VRT 1|O.S. 2024 KAJAK D. - BROEKX
sport|cycling (track/piste)|VRT 1|O.S. 2024 BAANWIELRENNEN. H.
sport|athletics (field/cross)|VRT 1|O.S. 2024 ATLETIEK. MARATHON H. - ABDI
sport|basketball|VRT CANVAS|O.S. 2024 BASKETBAL H.
sport|cycling (road)|VRT CANVAS|WIELRENNEN. CLASSICA SAN SEBASTIAN
fiction|science fiction|VTM|FREE GUY
sport|athletics (track/piste)|VRT CANVAS|O.S. 2024 ATLETIEK - HEYMANS
sport|basketball|VRT 1|O.S. 2024 BASKETBAL D. - FRANKRIJK/BELGIE
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK D. - THIAM - VIDTS
sport|hockey|VRT 1|O.S. 2024 HOCKEY D. - ARGENTINIE/BELGIE
sport|martial arts|VRT 1|O.S. 2024 TAEKWONDO D. - CHAARI
sport|martial arts|VRT CANVAS|O.S. 2024 TAEKWONDO D. - CHAARI
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK - THIAM
sport|football|VRT 1|O.S. 2024 VB. D.
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK - THIAM - VIDTS - SISK - SMET
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK - THIAM - VIDTS
sport|cycling (track/piste)|VRT 1|O.S. 2024 BAANWIELRENNEN - VAN DEN BOSSCHE - DEGRENDELE
sport|table tennis|VRT 1|O.S. 2024 TAFEL TENNIS H.
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK D. - VIDTS - THIAM
sport|other water sports|VRT 1|O.S. 2024 WATERPOLO D.
sport|hockey|VRT 1|O.S. 2024 HOCKEY D. - BELGIE/CHINA
sport|basketball|VRT 1|O.S. 2024 BASKETBAL D. - SPANJE/BELGIE
sport|hockey|VRT CANVAS|O.S. 2024 HOCKEY D. - BELGIE/CHINA
sport|volleyball|VRT 1|O.S. 2024 VOLLEYBAL H.
sport|other sports|VRT 1|O.S. 2024 SKATEBOARDEN H.
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK - CRESTAN - SMET - SISK
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK - DEN BROECK - CLAES - COUCKUYT
sport|other sports|VRT 1|O.S. 2024 SKATEBOARDEN D.
sport|other water sports|VRT 1|O.S. 2024 KAJAK D. - PETERS - BROEKX
sport|swimming|VRT 1|O.S. 2024 DUIKEN D.
lifestyle|home/decorating|VTM|MILJOENENHUIZEN
lifestyle|show business/variety/stars|VTM2|DE BAUERS, 20 JAAR LATER
sport|hockey|VRT 1|O.S. 2024 HOCKEY D. - BELGIE/SPANJE
sport|football|VRT 1|O.S. 2024 VOETBAL H.
sport|gymnastic|VRT 1|O.S. 2024 ARTISTIEKE GYMNASTIEK D.
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK - DEN BROECK - MILANOV - PONETTE -BOLINGO
sport|other racquet sports|VRT 1|O.S. 2024 BADMINTON H.
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK - PONETTE - MILANOV - BOLINGO
sport|jumping|VRT 1|O.S. 2024 PAARDENSPORT. JUMPING H.
sport|cycling (road)|VRT 1|O.S. 2024 WIELRENNEN. D.
sport|hockey|VRT 1|O.S. 2024 HOCKEY H. - BELGIE/SPANJE
sport|basketball|VRT 1|O.S. 2024 BASKETBAL D. - JAPAN/BELGIE
sport|gymnastic|VRT 1|O.S. 2024 ARTISTIEKE GYMNASTIEK
sport|cycling (road)|VRT CANVAS|O.S. 2024 WIELRENNEN D. - KOPECKY
sport|hockey|VRT CANVAS|O.S. 2024 HOCKEY H. - BELGIE/SPANJE
sport|cycling (road)|VRT 1|O.S. 2024 WIELRENNEN. H.
sport|swimming|VRT 1|O.S. 2024 ZWEMMEN H.
sport|boxing|VRT 1|O.S. 2024 BOKSEN H.
sport|hockey|VRT 1|O.S. 2024 HOCKEY D. - DUITSLAND/BELGIE
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK. SPRINT H.
fiction|action|VTM|FAST & FURIOUS 9
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK. DECATLON H.
fiction|popular drama/comedy|VRT CANVAS|FAR FROM THE MADDING CROWD
fiction|police|VRT CANVAS|THE RESPONDER
entertainment|game|VRT 1|HOMO UNIVERSALIS
sport|martial arts|VRT 1|O.S. 2024 JUDO H.
sport|hockey|VRT 1|O.S. 2024 HOCKEY H. - BELGIE/ARGENTINIE
sport|hockey|VRT 1|O.S. 2024 HOCKEY D. - BELGIE/NEDERLAND
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK. SPRINT D.
sport|other equestrian sports|VRT 1|O.S. 2024 PAARDENSPORT DRESSUUR H.
sport|athletics (track/piste)|VRT 1|O.S. 2024 ATLETIEK. MIDDELLANGE AFSTAND H.
sport|gymnastic|VRT 1|O.S. 2024 TURNEN D.
sport|boxing|VRT 1|O.S. 2024 BOKSEN D. - DERIEUW
sport|other water sports|VRT 1|O.S. 2024 KANO SLALOM H.
sport|swimming|VRT 1|O.S. 2024 ZWEMMEN
